review,rating,date,bank,source,sentiment_label,sentiment_score
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play Store,POSITIVE,0.9984679818153381
why didn't work this app?,1,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9991324543952942
the app makes our life easier. thank you cbe!,5,2025-11-27,CBE,Google Play Store,POSITIVE,0.9996963739395142
this app very bad 👎,1,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9997968077659607
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9565094709396362
good application,4,2025-11-27,CBE,Google Play Store,POSITIVE,0.999854564666748
it is nice app,5,2025-11-26,CBE,Google Play Store,POSITIVE,0.9998478889465332
best,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9997941851615906
good app,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9998493194580078
"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,CBE,Google Play Store,NEGATIVE,0.9993435740470886
nice app...,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9997116923332214
very good banking service and fast service,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.9998499155044556
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.9971639513969421
good,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.9998161196708679
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play Store,NEGATIVE,0.9984826445579529
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play Store,NEGATIVE,0.9856644868850708
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play Store,NEGATIVE,0.8832131028175354
wow,5,2025-11-23,CBE,Google Play Store,POSITIVE,0.999592125415802
nice,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998552799224854
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play Store,NEGATIVE,0.9818922877311707
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998483657836914
excellent,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998434782028198
ዳጊ,5,2025-11-21,CBE,Google Play Store,NEGATIVE,0.6970565915107727
absolutely right,5,2025-11-21,CBE,Google Play Store,POSITIVE,0.9998525381088257
