review,rating,date,bank,source,sentiment_label,sentiment_score,cleaned_review,lemmatized,topic,theme
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play Store,POSITIVE,0.998467981815338,this application is very important and advantage for transfer of money and finance in the coutry and foriegn country,application important advantage transfer money finance coutry foriegn country,1,Transaction & Service Reliability Issues
why didn't work this app?,1,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9991324543952942,why didnt work this app,not work app,0,App Malfunction & Technical Bugs
the app makes our life easier. thank you cbe!,5,2025-11-27,CBE,Google Play Store,POSITIVE,0.9996963739395142,the app makes our life easier thank you cbe,app make life easy thank cbe,1,Transaction & Service Reliability Issues
this app very bad 👎,1,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9997968077659608,this app very bad 👎,app bad,1,Transaction & Service Reliability Issues
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play Store,NEGATIVE,0.9565094709396362,the most advanced app but how to stay safe,advanced app stay safe,2,"User Experience, Features & Security"
good application,4,2025-11-27,CBE,Google Play Store,POSITIVE,0.999854564666748,good application,good application,4,App Performance (Speed & Quality)
it is nice app,5,2025-11-26,CBE,Google Play Store,POSITIVE,0.9998478889465332,it is nice app,nice app,0,App Malfunction & Technical Bugs
best,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9997941851615906,best,well,2,"User Experience, Features & Security"
good app,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9998493194580078,good app,good app,4,App Performance (Speed & Quality)
"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25,CBE,Google Play Store,NEGATIVE,0.9993435740470886,it suddenly asked me to enter the verification key i received and it get your verification key from the nearest cbe branch now im in australia what do you expect me to do there is no nearest or furthermost cbe branch so frustrating how can i manage my bank account now,suddenly ask enter verification key receive verification key near cbe branch m australia expect nearest furthermost cbe branch frustrating manage bank account,0,App Malfunction & Technical Bugs
nice app...,5,2025-11-25,CBE,Google Play Store,POSITIVE,0.9997116923332214,nice app,nice app,0,App Malfunction & Technical Bugs
very good banking service and fast service,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.9998499155044556,very good banking service and fast service,good banking service fast service,2,"User Experience, Features & Security"
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.997163951396942,thanks blc this app help me to use all time,thank blc app help use time,1,Transaction & Service Reliability Issues
good,5,2025-11-24,CBE,Google Play Store,POSITIVE,0.999816119670868,good,good,4,App Performance (Speed & Quality)
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play Store,NEGATIVE,0.9984826445579528,why we cant send money to other people telebirr wallets,not send money people telebirr wallet,0,App Malfunction & Technical Bugs
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play Store,NEGATIVE,0.9856644868850708,አታፍሩም ግን ለ birr ብር ስትቆርጡ ይስተካከልልን,አታፍሩም ግን ለ birr ብር ስትቆርጡ ይስተካከልልን,4,App Performance (Speed & Quality)
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play Store,NEGATIVE,0.8832131028175354,በጣም ቀላልና ምቹ ነው።,በጣም ቀላልና ምቹ,4,App Performance (Speed & Quality)
wow,5,2025-11-23,CBE,Google Play Store,POSITIVE,0.999592125415802,wow,wow,3,Highly Positive Feedback & Brand Perception
nice,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998552799224854,nice,nice,0,App Malfunction & Technical Bugs
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play Store,NEGATIVE,0.9818922877311708,you are the reason why i got ye chogara himem,reason get ye chogara himem,1,Transaction & Service Reliability Issues
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998483657836914,it is so smart app i recommend it for everyone,smart app recommend,4,App Performance (Speed & Quality)
excellent,5,2025-11-22,CBE,Google Play Store,POSITIVE,0.9998434782028198,excellent,excellent,2,"User Experience, Features & Security"
ዳጊ,5,2025-11-21,CBE,Google Play Store,NEGATIVE,0.6970565915107727,ዳጊ,ዳጊ,0,App Malfunction & Technical Bugs
absolutely right,5,2025-11-21,CBE,Google Play Store,POSITIVE,0.9998525381088256,absolutely right,absolutely right,4,App Performance (Speed & Quality)
mid application it's so annoying,3,2025-11-20,CBE,Google Play Store,NEGATIVE,0.9997883439064026,mid application its so annoying,mid application annoying,4,App Performance (Speed & Quality)
i used morethan one year,4,2025-11-20,CBE,Google Play Store,NEGATIVE,0.9802079796791076,i used morethan one year,morethan year,1,Transaction & Service Reliability Issues
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play Store,NEGATIVE,0.9920698404312134,no word can explane about this app it is nice 👍👍👍👍👍,word explane app nice,0,App Malfunction & Technical Bugs
