review,rating,date,bank,source
best,5,2025-11-25 20:27:20,CBE,Google Play
good app,5,2025-11-25 18:10:35,CBE,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 17:14:22,CBE,Google Play
nice app...,5,2025-11-25 10:24:19,CBE,Google Play
very good banking service and fast service,5,2025-11-24 21:09:29,CBE,Google Play
thanks blc this app help me to use all time,5,2025-11-24 14:36:07,CBE,Google Play
good,5,2025-11-24 11:54:09,CBE,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24 08:44:51,CBE,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23 23:12:04,CBE,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23 20:22:11,CBE,Google Play
wow,5,2025-11-23 15:30:09,CBE,Google Play
good,5,2025-11-23 10:13:39,CBE,Google Play
nice,5,2025-11-22 20:27:39,CBE,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22 13:33:11,CBE,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22 11:51:00,CBE,Google Play
excellent,5,2025-11-22 11:34:12,CBE,Google Play
good,5,2025-11-21 22:11:35,CBE,Google Play
ዳጊ,5,2025-11-21 19:55:17,CBE,Google Play
absolutely right,5,2025-11-21 18:45:37,CBE,Google Play
good app,5,2025-11-21 18:07:17,CBE,Google Play
mid application it's so annoying,3,2025-11-20 18:58:06,CBE,Google Play
I used morethan one year,4,2025-11-20 17:52:03,CBE,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20 16:15:18,CBE,Google Play
"It's great app,I love this app",5,2025-11-20 11:37:22,CBE,Google Play
Nice,5,2025-11-19 23:42:22,CBE,Google Play
suckkkks,1,2025-11-19 19:20:20,CBE,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19 18:51:36,CBE,Google Play
I love you this app,5,2025-11-19 10:09:34,CBE,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19 08:28:14,CBE,Google Play
make life easy,5,2025-11-19 08:02:38,CBE,Google Play
securr,5,2025-11-19 05:55:07,CBE,Google Play
My most optional bank,5,2025-11-17 18:08:01,CBE,Google Play
5 star,5,2025-11-17 00:43:29,CBE,Google Play
it is fantastic app.,5,2025-11-16 13:14:03,CBE,Google Play
excellent,5,2025-11-16 11:17:05,CBE,Google Play
sifen,5,2025-11-16 09:52:58,CBE,Google Play
i like this√,4,2025-11-16 09:04:39,CBE,Google Play
Ok,3,2025-11-16 03:50:12,CBE,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15 22:07:10,CBE,Google Play
